annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2018/2019,True,0956,"Dams - discipline delle arti, della musica  e dello spettacolo",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0956,Bologna,Bologna,Studi umanistici,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2018/2019,False,0957,Filosofia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0957,Bologna,Bologna,Studi umanistici,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2018/2019,True,0962,Storia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0962,Bologna,Bologna,Studi umanistici,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2018/2019,True,0964,Antropologia culturale ed etnologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0964,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0966,"Cinema, televisione e produzione multimediale",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0966,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0970,"Filologia, letteratura e tradizione classica",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0970,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0971,Geografia e processi territoriali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0971,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0977,Arti visive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0977,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0979,Lingue e letterature straniere,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0979,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,True,Titolo multiplo (solo alcuni curricula),,Italiano,numero chiuso
2018/2019,True,0980,"Lingue, mercati e culture dell'Asia",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0980,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,0981,"Letterature moderne, comparate e postcoloniali",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0981,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0983,Lingua e cultura italiane per stranieri,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0983,Bologna,Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0989,Neuroscienze e riabilitazione neuropsicologica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0989,Cesena,Cesena,Psicologia,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0990,Psicologia clinica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0990,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0991,Psicologia cognitiva applicata,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0991,Cesena,Bologna,Psicologia,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,0993,Psicologia scolastica e di comunita',http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/0993,Cesena,Cesena,Psicologia,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8004,Astronomia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8004,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8005,Biotecnologie,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8005,Bologna,Bologna,Farmacia e biotecnologie,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8006,Chimica e chimica dei materiali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8006,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,False,8007,Fisica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8007,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8009,Informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8009,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8010,Matematica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8010,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2018/2019,True,8011,Scienze ambientali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8011,Ravenna,Ravenna,Scienze,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2018/2019,True,8012,Scienze biologiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8012,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8014,Informatica per il management,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8014,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8015,Scienze geologiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8015,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8016,Scienze naturali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8016,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8018,Astrofisica e cosmologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8018,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8020,Bioinformatics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8020,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,True,Titolo multiplo,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8021,Biologia molecolare e cellulare,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8021,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,False,8025,Fisica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8025,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8026,Fotochimica e materiali molecolari,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8026,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8027,Geologia e territorio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8027,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8028,Informatica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8028,Bologna,Bologna,Scienze,Laurea Magistrale,2,True,Titolo multiplo,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,False,8036,Scienze e tecniche dell'attivita' motoria preventiva e adattata,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8036,Bologna,Bologna,Scienze motorie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8037,Scienze e tecniche dell'attivita' sportiva,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8037,Bologna,Bologna,Scienze motorie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8038,"Economia, mercati e istituzioni",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8038,Bologna,Bologna,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8040,Servizio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8040,Bologna,Bologna,Sociologia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8048,Scienze internazionali e diplomatiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8048,Forlì,Forlì,Scienze politiche,Laurea,3,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,numero chiuso
2018/2019,True,8049,Interdisciplinary research and studies on eastern europe,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8049,Forlì,Forlì,Scienze politiche,Laurea Magistrale,2,True,Titolo congiunto,Erogato in lingua straniera,Inglese,numero chiuso
2018/2019,True,8051,Mass media e politica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8051,Forlì,Forlì,Scienze politiche,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8059,Mediazione linguistica interculturale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8059,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea,3,True,Titolo multiplo,,Italiano,numero chiuso
2018/2019,True,8060,Interpretazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8060,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,False,,,Italiano,numero chiuso
2018/2019,False,8061,Traduzione specializzata,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8061,Forlì,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,2,False,,,Italiano,numero chiuso
2018/2019,True,8182,Design del prodotto industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8182,Bologna,Bologna,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,False,8198,Ingegneria biomedica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8198,Cesena,Cesena,Ingegneria e architettura,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8204,Odontoiatria e protesi dentaria,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8204,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,Italiano,numero chiuso
2018/2019,True,8208,Matematica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8208,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,False,8209,Scienze e gestione della natura,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8209,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,False,8263,Ingegneria aerospaziale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8263,Forlì,Forlì,Ingegneria e architettura,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8406,Management e marketing,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8406,Bologna,Bologna,Economia e management,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8408,Economics,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8408,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera,Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8412,Chimica e tecnologia farmaceutiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8412,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2018/2019,False,8413,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8413,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2018/2019,False,8414,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8414,Rimini,Rimini,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,False,,,Italiano,numero chiuso
2018/2019,True,8415,Medicina e chirurgia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8415,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale a ciclo unico,6,False,,,Italiano,numero chiuso
2018/2019,True,8418,Analisi e gestione dell'ambiente,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8418,Ravenna,Ravenna,Scienze,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8419,Biodiversita' ed evoluzione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8419,Bologna,Bologna,Scienze,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8420,Economia e politica economica,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8420,Bologna,Bologna,Economia e management,Laurea Magistrale,2,True,,Erogato in lingua straniera (solo alcuni curricula),Italiano Inglese,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8470,Dietistica (abilitante alla professione sanitaria di dietista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8470,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8473,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8473,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8474,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8474,Ravenna,Faenza,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8475,Infermieristica (abilitante alla professione sanitaria di infermiere),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8475,Rimini,Rimini,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8476,Fisioterapia (abilitante alla professione sanitaria di fisioterapista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8476,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8477,Educazione professionale (abilitante alla professione sanitaria di educatore professionale),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8477,Bologna,Imola,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8478,Logopedia (abilitante alla professione sanitaria di logopedista),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8478,Ravenna,Faenza,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8479,Podologia (abilitante alla professione sanitaria di podologo),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8479,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8481,Igiene dentale (abilitante alla professione sanitaria di igienista dentale),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8481,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8482,Tecniche di neurofisiopatologia (abilitante alla professione sanitaria di tecnico di neurofisiopatologia),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8482,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8483,Tecniche ortopediche (abilitante alla professione sanitaria di tecnico ortopedico),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8483,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8484,Tecniche di laboratorio biomedico (abilitante alla professione sanitaria di tecnico di laboratorio biomedico),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8484,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8485,"Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di tecnico di radiologia medica)",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8485,Bologna,Bologna,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,False,8486,"Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di tecnico di radiologia medica)",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8486,Rimini,Rimini,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8487,Tecniche della prevenzione nell'ambiente e nei luoghi di lavoro (abilitante  alla professione sanitaria di tecnico della prevenzione nell'ambiente e nei luoghi di lavoro),http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8487,Bologna,Imola,Medicina e Chirurgia,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8488,Scienze infermieristiche e ostetriche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8488,Bologna,Bologna,Medicina e Chirurgia,Laurea Magistrale,2,False,,,Italiano,numero chiuso
2018/2019,True,8491,Scienze criminologiche per l'investigazione e la sicurezza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8491,Forlì,Forlì,Sociologia,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8493,"Antropologia, religioni, civilta' orientali",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8493,Bologna,Bologna,Studi umanistici,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2018/2019,True,8495,Sociologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8495,Forlì,Forlì,Sociologia,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2018/2019,True,8512,Scienze delle attivita' motorie e sportive,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8512,Bologna,Bologna,Scienze motorie,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8513,Chimica industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8513,Bologna,Bologna,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8514,Chimica e tecnologie per l'ambiente e per i materiali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8514,Rimini,Rimini,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8515,Chimica e tecnologie per l'ambiente e per i materiali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8515,Ravenna,Faenza,Scienze,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,False,8517,Controllo di qualita' dei prodotti per la salute,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8517,Rimini,Rimini,Farmacia e biotecnologie,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8518,Scienze farmaceutiche applicate,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8518,Bologna,Imola,Farmacia e biotecnologie,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8519,Biotecnologie farmaceutiche,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8519,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8521,Sicurezza e qualita' delle produzioni animali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8521,Bologna,Ozzano dell' Emilia,Medicina veterinaria,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8522,Biotecnologie animali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8522,Bologna,Ozzano dell' Emilia,Medicina veterinaria,Laurea Magistrale,2,False,,,Italiano,libero accesso con verifica dell'adeguatezza della preparazione
2018/2019,True,8523,Verde ornamentale e tutela del paesaggio,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8523,Bologna,Imola,Scienze agro-alimentari,Laurea,3,False,,,Italiano,libero accesso con verifica delle conoscenze
2018/2019,True,8524,Tecnologie agrarie,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8524,Bologna,Bologna,Scienze agro-alimentari,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8525,Scienze del territorio e dell'ambiente agro-forestale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8525,Bologna,Bologna,Scienze agro-alimentari,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8526,Economia e marketing nel sistema agro-industriale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8526,Bologna,Bologna,Scienze agro-alimentari,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8527,Viticoltura ed enologia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8527,Cesena,Cesena,Scienze agro-alimentari,Laurea,3,False,,,Italiano,numero chiuso
2018/2019,True,8528,Tecnologie alimentari,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2018/8528,Cesena,Cesena,Scienze agro-alimentari,Laurea,3,False,,,Italiano,numero chiuso
